SYSTEM,RANK,FAMILY,NAME,SPECIES,RIS_BINOMIAL,AUTHORITY,FOREWING_LB,FOREWING_UB,EXCLUDE_FROM_FINAL
4357,Species,Geometridae,Gandaritis pyraliata,Gandaritis pyraliata,Eulithis pyraliata,"([Denis & Schiffermüller], 1775)",15,18,N
4360,Species,Geometridae,Ecliptopera silaceata,Ecliptopera silaceata,Ecliptopera silaceata,"([Denis & Schiffermüller], 1775)",13,17,N
4363,Species,Geometridae,Chloroclysta siterata,Chloroclysta siterata,Chloroclysta siterata,"(Hufnagel, 1767)",14,17,N
4366,Species,Geometridae,Chloroclysta miata,Chloroclysta miata,Chloroclysta miata,"(Linnaeus, 1758)",15,17,N
4369,Subspecies,Geometridae,Dysstroma truncata truncata,Dysstroma truncata,Chloroclysta truncata,"(Hufnagel, 1767)",14,19,N
4372,Subspecies,Geometridae,Dysstroma truncata concinnata,Dysstroma truncata,Chloroclysta truncata,"(Stephens, 1831)",14,19,N
4374,Subspecies,Geometridae,Dysstroma citrata citrata,Dysstroma citrata,Dysstroma citrata,"(Linnaeus, 1761)",14,19,N
4377,Subspecies,Geometridae,Dysstroma citrata pythonissata,Dysstroma citrata,Dysstroma citrata,"(Millière, 1870)",14,19,N
4379,Species,Geometridae,Colostygia olivata,Colostygia olivata,Colostygia olivata,"([Denis & Schiffermüller], 1775)",13,15,N
4382,Species,Geometridae,Colostygia pectinataria,Colostygia pectinataria,Colostygia pectinataria,"(Knoch, 1781)",12,15,N
4386,Species,Geometridae,Colostygia multistrigaria,Colostygia multistrigaria,Colostygia multistrigaria,"(Haworth, 1809)",13,17,N
4389,Subspecies,Geometridae,Coenotephria salicata salicata,Coenotephria salicata,Coenotephria salicata,"(Hübner, [1799])",12,15,N
4391,Subspecies,Geometridae,Coenotephria salicata latentaria,Coenotephria salicata,Coenotephria salicata,"(Curtis, 1830)",12,15,N
4394,Species,Geometridae,Lampropteryx suffumata,Lampropteryx suffumata,Lampropteryx suffumata,"([Denis & Schiffermüller], 1775)",14,17,N
4397,Species,Geometridae,Lampropteryx otregiata,Lampropteryx otregiata,Lampropteryx otregiata,"(Metcalfe, 1917)",12,14,N
4401,Species,Geometridae,Operophtera fagata,Operophtera fagata,Operophtera fagata,"(Scharfenberg, 1805)",14,18,N
4404,Species,Geometridae,Operophtera brumata,Operophtera brumata,Operophtera brumata,"(Linnaeus, 1758)",13,16,N
4407,Species,Geometridae,Epirrita dilutata,Epirrita dilutata,Epirrita dilutata,"([Denis & Schiffermüller], 1775)",15,20,N
4409,Species,Geometridae,Epirrita christyi,Epirrita christyi,Epirrita christyi,"(Allen, 1906)",15,20,N
4411,Species,Geometridae,Epirrita autumnata,Epirrita autumnata,Epirrita autumnata,"(Borkhausen, 1794)",16,20,N
4414,Species,Geometridae,Epirrita filigrammaria,Epirrita filigrammaria,Epirrita filigrammaria,"(Herrich-Schäffer, 1846)",14,18,N
4418,Species,Geometridae,Asthena albulata,Asthena albulata,Asthena albulata,"(Hufnagel, 1767)",9,11,N
4422,Species,Geometridae,Euchoeca nebulata,Euchoeca nebulata,Euchoeca nebulata,"(Scopoli, 1763)",9,12,N
4427,Species,Geometridae,Hydrelia sylvata,Hydrelia sylvata,Hydrelia sylvata,"([Denis & Schiffermüller], 1775)",11,13,N
4430,Species,Geometridae,Hydrelia flammeolaria,Hydrelia flammeolaria,Hydrelia flammeolaria,"(Hufnagel, 1767)",9,11,N
4434,Species,Geometridae,Venusia cambrica,Venusia cambrica,Venusia cambrica,"Curtis, 1839",13,15,N
4437,Species,Geometridae,Venusia blomeri,Venusia blomeri,Venusia blomeri,"(Curtis, 1832)",10,13,N
4440,Species,Geometridae,Minoa murinata,Minoa murinata,Minoa murinata,"(Scopoli, 1763)",9,11,N
4445,Species,Geometridae,Philereme vetulata,Philereme vetulata,Philereme vetulata,"([Denis & Schiffermüller], 1775)",13,16,N
4447,Subspecies,Geometridae,Philereme transversata transversata,Philereme transversata,Philereme transversata,"(Hufnagel, 1767)",17,20,N
4449,Subspecies,Geometridae,Philereme transversata britannica,Philereme transversata,Philereme transversata,"(Lempke, 1968)",17,20,N
4453,Subspecies,Geometridae,Rheumaptera hastata hastata,Rheumaptera hastata,Rheumaptera hastata,"(Linnaeus, 1758)",16,19,N
4455,Subspecies,Geometridae,Rheumaptera hastata nigrescens,Rheumaptera hastata,Rheumaptera hastata,"(Cockerell, 1889)",13,15,N
4457,Species,Geometridae,Hydria undulata,Hydria undulata,Hydria undulata,"(Linnaeus, 1758)",16,19,N
4459,Species,Geometridae,Hydria cervinalis,Hydria cervinalis,Hydria cervinalis,"(Scopoli, 1763)",19,22,N
4463,Species,Geometridae,Triphosa dubitata,Triphosa dubitata,Triphosa dubitata,"(Linnaeus, 1758)",19,22,N
4466,Species,Geometridae,Pareulype berberata,Pareulype berberata,Pareulype berberata,"([Denis & Schiffermüller], 1775)",13,15,N
4470,Species,Geometridae,Coenocalpe lapidata,Coenocalpe lapidata,Coenocalpe lapidata,"(Hübner, [1809])",13,16,N
4473,Species,Geometridae,Horisme vitalbata,Horisme vitalbata,Horisme vitalbata,"([Denis & Schiffermüller], 1775)",14,17,N
4475,Species,Geometridae,Horisme tersata,Horisme tersata,Horisme tersata,"([Denis & Schiffermüller], 1775)",14,18,N
4478,Species,Geometridae,Melanthia procellata,Melanthia procellata,Melanthia procellata,"([Denis & Schiffermüller], 1775)",16,18,N
4481,Species,Geometridae,Anticollix sparsata,Anticollix sparsata,Anticollix sparsata,"(Treitschke, 1828)",11,13,N
4486,Species,Geometridae,Odezia atrata,Odezia atrata,Odezia atrata,"(Linnaeus, 1758)",12,15,N
4490,Subspecies,Geometridae,Carsia sororiata sororiata,Carsia sororiata,Carsia sororiata,"(Hübner, [1813])",11,15,N
4493,Subspecies,Geometridae,Carsia sororiata anglica,Carsia sororiata,Carsia sororiata,"Prout, 1937",11,15,N
4496,Subspecies,Geometridae,Aplocera plagiata plagiata,Aplocera plagiata,Aplocera plagiata,"(Linnaeus, 1758)",19,22,N
4498,Subspecies,Geometridae,Aplocera plagiata scotica,Aplocera plagiata,Aplocera plagiata,"(Richardson, 1952)",19,22,N
4499,Species,Geometridae,Aplocera efformata,Aplocera efformata,Aplocera efformata,"(Guenée, [1858])",16,19,N
4501,Species,Geometridae,Aplocera praeformata,Aplocera praeformata,Aplocera praeformata,"(Hübner, [1826])",20,25,N
4504,Species,Geometridae,Chesias legatella,Chesias legatella,Chesias legatella,"([Denis & Schiffermüller], 1775)",17,19,N
4507,Subspecies,Geometridae,Chesias rufata rufata,Chesias rufata,Chesias rufata,"(Fabricius, 1775)",14,16,N
4509,Subspecies,Geometridae,Chesias rufata scotica,Chesias rufata,Chesias rufata,"(Richardson, 1952)",14,16,N
4511,Species,Geometridae,Lithostege griseata,Lithostege griseata,Lithostege griseata,"([Denis & Schiffermüller], 1775)",14,16,N
4516,Subspecies,Geometridae,Mesotype didymata didymata,Mesotype didymata,Perizoma didymata,"(Linnaeus, 1758)",11,15,N
4518,Subspecies,Geometridae,Mesotype didymata hethlandica,Mesotype didymata,Perizoma didymata,"(Rebel, 1910)",11,15,N
4520,Species,Geometridae,Perizoma affinitata,Perizoma affinitata,Perizoma affinitata,"(Stephens, 1831)",12,15,N
4522,Species,Geometridae,Perizoma alchemillata,Perizoma alchemillata,Perizoma alchemillata,"(Linnaeus, 1758)",9,11,N
4524,Species,Geometridae,Perizoma bifaciata,Perizoma bifaciata,Perizoma bifaciata,"(Haworth, 1809)",9,11,N
4527,Subspecies,Geometridae,Perizoma minorata minorata,Perizoma minorata,Perizoma minorata,"(Treitschke, 1828)",8,10,N
4529,Subspecies,Geometridae,Perizoma minorata ericetata,Perizoma minorata,Perizoma minorata,"(Stephens, 1831)",8,10,N
4531,Subspecies,Geometridae,Perizoma blandiata blandiata,Perizoma blandiata,Perizoma blandiata,"([Denis & Schiffermüller], 1775)",9,11,N
4534,Subspecies,Geometridae,Perizoma blandiata perfasciata,Perizoma blandiata,Perizoma blandiata,"(Prout, 1914)",9,11,N
4535,Subspecies,Geometridae,Perizoma albulata albulata,Perizoma albulata,Perizoma albulata,"([Denis & Schiffermüller], 1775)",10,12,N
4537,Subspecies,Geometridae,Perizoma albulata subfasciaria,Perizoma albulata,Perizoma albulata,"(Boheman, 1853)",10,12,N
4538,Species,Geometridae,Perizoma flavofasciata,Perizoma flavofasciata,Perizoma flavofasciata,"(Thunberg, 1792)",11,14,N
4542,Species,Geometridae,Martania taeniata,Martania taeniata,Martania taeniata,"(Stephens, 1831)",11,12,N
4545,Species,Geometridae,Gagitodes sagittata,Gagitodes sagittata,Gagitodes sagittata,"(Fabricius, 1787)",13,17,N
4549,Species,Geometridae,Gymnoscelis rufifasciata,Gymnoscelis rufifasciata,Gymnoscelis rufifasciata,"(Haworth, 1809)",8,10,N
4553,Species,Geometridae,Chloroclystis v-ata,Chloroclystis v-ata,Chloroclystis v-ata,"(Haworth, 1809)",8,11,N
4557,Species,Geometridae,Pasiphila chloerata,Pasiphila chloerata,Pasiphila chloerata,"(Mabille, 1870)",9,10,N
4559,Species,Geometridae,Pasiphila rectangulata,Pasiphila rectangulata,Pasiphila rectangulata,"(Linnaeus, 1758)",8,11,N
4561,Species,Geometridae,Pasiphila debiliata,Pasiphila debiliata,Pasiphila debiliata,"(Hübner, [1817])",9,11,N
4565,Species,Geometridae,Eupithecia haworthiata,Eupithecia haworthiata,Eupithecia haworthiata,"Doubleday, 1856",8,9,N
4568,Species,Geometridae,Eupithecia tenuiata,Eupithecia tenuiata,Eupithecia tenuiata,"(Hübner, [1813])",8,10,N
4570,Species,Geometridae,Eupithecia inturbata,Eupithecia inturbata,Eupithecia inturbata,"(Hübner, [1817])",8,10,N
4573,Species,Geometridae,Eupithecia abietaria,Eupithecia abietaria,Eupithecia abietaria,"(Goeze, 1781)",11,15,N
4577,Species,Geometridae,Eupithecia linariata,Eupithecia linariata,Eupithecia linariata,"([Denis & Schiffermüller], 1775)",9,10,N
4579,Species,Geometridae,Eupithecia pulchellata,Eupithecia pulchellata,Eupithecia pulchellata,"Stephens, 1831",10,12,N
4582,Species,Geometridae,Eupithecia ultimaria,Eupithecia ultimaria,Eupithecia ultimaria,"Boisduval, 1840",7,10,N
4584,Species,Geometridae,Eupithecia plumbeolata,Eupithecia plumbeolata,Eupithecia plumbeolata,"(Haworth, 1809)",9,10,N
4586,Species,Geometridae,Eupithecia pygmaeata,Eupithecia pygmaeata,Eupithecia pygmaeata,"(Hübner, [1799])",8,9,N
4588,Subspecies,Geometridae,Eupithecia venosata venosata,Eupithecia venosata,Eupithecia venosata,"(Fabricius, 1787)",10,14,N
4590,Subspecies,Geometridae,Eupithecia venosata ochracae,Eupithecia venosata,Eupithecia venosata,"Gregson, 1886",10,14,N
4591,Subspecies,Geometridae,Eupithecia venosata fumosae,Eupithecia venosata,Eupithecia venosata,"Gregson, 1887",10,14,N
4592,Subspecies,Geometridae,Eupithecia venosata hebridensis,Eupithecia venosata,Eupithecia venosata,"Curtis, 1944",10,14,N
4593,Subspecies,Geometridae,Eupithecia venosata plumbea,Eupithecia venosata,Eupithecia venosata,"Huggins, 1962",10,14,N
4594,Species,Geometridae,Eupithecia abbreviata,Eupithecia abbreviata,Eupithecia abbreviata,"Stephens, 1831",10,12,N
4596,Species,Geometridae,Eupithecia dodoneata,Eupithecia dodoneata,Eupithecia dodoneata,"Guenée, [1858]",8,11,N
4598,Species,Geometridae,Eupithecia pusillata,Eupithecia pusillata,Eupithecia pusillata,"([Denis & Schiffermüller], 1775)",9,11,N
4605,Species,Geometridae,Eupithecia phoeniceata,Eupithecia phoeniceata,Eupithecia phoeniceata,"(Rambur, 1834)",10,11,N
4607,Species,Geometridae,Eupithecia tripunctaria,Eupithecia tripunctaria,Eupithecia tripunctaria,"Herrich-Schäffer, 1852",10,12,N
4610,Species,Geometridae,Eupithecia virgaureata,Eupithecia virgaureata,Eupithecia virgaureata,"Doubleday, 1861",10,11,N
4612,Species,Geometridae,Eupithecia tantillaria,Eupithecia tantillaria,Eupithecia tantillaria,"Boisduval, 1840",9,11,N
4614,Species,Geometridae,Eupithecia lariciata,Eupithecia lariciata,Eupithecia lariciata,"(Freyer, 1841)",10,12,N
4616,Species,Geometridae,Eupithecia egenaria,Eupithecia egenaria,Eupithecia egenaria,"Herrich-Schäffer, 1848",11,13,N
4618,Species,Geometridae,Eupithecia pimpinellata,Eupithecia pimpinellata,Eupithecia pimpinellata,"(Hübner, [1813])",11,12,N
4620,Species,Geometridae,Eupithecia simpliciata,Eupithecia simpliciata,Eupithecia simpliciata,"(Haworth, 1809)",11,13,N
4622,Species,Geometridae,Eupithecia sinuosaria,Eupithecia sinuosaria,Eupithecia sinuosaria,"(Eversmann, 1848)",10,12,N
4624,Species,Geometridae,Eupithecia nanata,Eupithecia nanata,Eupithecia nanata angusta,"(Hübner, [1813])",9,12,N
4626,Species,Geometridae,Eupithecia innotata,Eupithecia innotata,Eupithecia innotata,"(Hufnagel, 1767)",10,12,N
4630,Species,Geometridae,Eupithecia irriguata,Eupithecia irriguata,Eupithecia irriguata,"(Hübner, [1813])",9,11,N
4632,Species,Geometridae,Eupithecia indigata,Eupithecia indigata,Eupithecia indigata,"(Hübner, [1813])",8,10,N
4634,Species,Geometridae,Eupithecia distinctaria,Eupithecia distinctaria,Eupithecia distinctaria,"Herrich-Schäffer, 1848",8,10,N
4638,Species,Geometridae,Eupithecia centaureata,Eupithecia centaureata,Eupithecia centaureata,"([Denis & Schiffermüller], 1775)",10,12,N
4641,Species,Geometridae,Eupithecia insigniata,Eupithecia insigniata,Eupithecia insigniata,"(Hübner, 1790)",10,12,N
4644,Species,Geometridae,Eupithecia trisignaria,Eupithecia trisignaria,Eupithecia trisignaria,"Herrich-Schäffer, 1848",10,11,N
4646,Subspecies,Geometridae,Eupithecia intricata intricata,Eupithecia intricata,Eupithecia intricata,"(Zetterstedt, 1839)",12,13,N
4651,Subspecies,Geometridae,Eupithecia intricata hibernica,Eupithecia intricata,Eupithecia intricata,"Mere, 1964",12,13,N
4653,Subspecies,Geometridae,Eupithecia satyrata satyrata,Eupithecia satyrata,Eupithecia satyrata,"(Hübner, [1813])",9,13,N
4656,Subspecies,Geometridae,Eupithecia satyrata curzoni,Eupithecia satyrata,Eupithecia satyrata,"Gregson, 1884",9,13,N
4657,Subspecies,Geometridae,Eupithecia extensaria extensaria,Eupithecia extensaria,Eupithecia extensaria,"(Freyer, 1844)",11,13,N
4658,Subspecies,Geometridae,Eupithecia extensaria occidua,Eupithecia extensaria,Eupithecia extensaria,"Prout, 1914",11,13,N
4660,Species,Geometridae,Eupithecia absinthiata,Eupithecia absinthiata,Eupithecia absinthiata,"(Clerck, 1759)",11,13,N
4667,Species,Geometridae,Eupithecia expallidata,Eupithecia expallidata,Eupithecia expallidata,"Doubleday, 1856",12,13,N
4669,Species,Geometridae,Eupithecia valerianata,Eupithecia valerianata,Eupithecia valerianata,"(Hübner, [1813])",8,10,N
4671,Species,Geometridae,Eupithecia assimilata,Eupithecia assimilata,Eupithecia assimilata,"Doubleday, 1856",9,12,N
4673,Species,Geometridae,Eupithecia vulgata,Eupithecia vulgata,Eupithecia vulgata,"(Haworth, 1809)",10,12,N
4677,Species,Geometridae,Eupithecia exiguata,Eupithecia exiguata,Eupithecia exiguata,"(Hübner, [1813])",11,12,N
4680,Subspecies,Geometridae,Eupithecia denotata denotata,Eupithecia denotata,Eupithecia denotata,"(Hübner, [1813])",11,13,N
4684,Species,Geometridae,Eupithecia millefoliata,Eupithecia millefoliata,Eupithecia millefoliata,"Rössler, 1866",12,13,N
4686,Species,Geometridae,Eupithecia icterata,Eupithecia icterata,Eupithecia icterata,"(Villers, 1789)",11,13,N
4690,Species,Geometridae,Eupithecia succenturiata,Eupithecia succenturiata,Eupithecia succenturiata,"(Linnaeus, 1758)",12,13,N
4692,Species,Geometridae,Eupithecia subumbrata,Eupithecia subumbrata,Eupithecia subumbrata,"([Denis & Schiffermüller], 1775)",10,12,N
4695,Species,Geometridae,Eupithecia subfuscata,Eupithecia subfuscata,Eupithecia subfuscata,"(Haworth, 1809)",10,12,N
4700,Species,Geometridae,Lobophora halterata,Lobophora halterata,Lobophora halterata,"(Hufnagel, 1767)",12,15,N
4704,Species,Geometridae,Pterapherapteryx sexalata,Pterapherapteryx sexalata,Pterapherapteryx sexalata,"(Retzius, 1783)",9,12,N
4708,Species,Geometridae,Acasis viretata,Acasis viretata,Acasis viretata,"(Hübner, [1799])",10,14,N
4711,Species,Geometridae,Trichopteryx polycommata,Trichopteryx polycommata,Trichopteryx polycommata,"([Denis & Schiffermüller], 1775)",14,17,N
4713,Species,Geometridae,Trichopteryx carpinata,Trichopteryx carpinata,Trichopteryx carpinata,"(Borkhausen, 1794)",13,18,N
4718,Species,Geometridae,Archiearis parthenias,Archiearis parthenias,Archiearis parthenias,"(Linnaeus, 1761)",16,19,N
4721,Species,Geometridae,Boudinotiana notha,Boudinotiana notha,Boudinotiana notha,"(Hübner, [1803])",15,17,N
4727,Species,Geometridae,Abraxas grossulariata,Abraxas grossulariata,Abraxas grossulariata,"(Linnaeus, 1758)",18,25,N
4730,Species,Geometridae,Abraxas sylvata,Abraxas sylvata,Abraxas sylvata,"(Scopoli, 1763)",18,22,N
4735,Species,Geometridae,Lomaspilis marginata,Lomaspilis marginata,Lomaspilis marginata,"(Linnaeus, 1758)",11,14,N
4738,Species,Geometridae,Ligdia adustata,Ligdia adustata,Ligdia adustata,"([Denis & Schiffermüller], 1775)",12,14,N
4741,Species,Geometridae,Stegania cararia,Stegania cararia,Stegania cararia,"(Hübner, 1790)",10,12,N
4743,Species,Geometridae,Stegania trimaculata,Stegania trimaculata,Stegania trimaculata,"(Villers, 1789)",10,13,N
4747,Species,Geometridae,Macaria notata,Macaria notata,Macaria notata,"(Linnaeus, 1758)",14,16,N
4749,Species,Geometridae,Macaria alternata,Macaria alternata,Macaria alternata,"([Denis & Schiffermüller], 1775)",13,15,N
4752,Species,Geometridae,Macaria signaria,Macaria signaria,Macaria signaria,"(Hübner, [1809])",13,14,N
4754,Species,Geometridae,Macaria liturata,Macaria liturata,Macaria liturata,"(Clerck, 1759)",14,17,N
4756,Species,Geometridae,Macaria wauaria,Macaria wauaria,Macaria wauaria,"(Linnaeus, 1758)",14,17,N
4759,Species,Geometridae,Macaria carbonaria,Macaria carbonaria,Macaria carbonaria,"(Clerck, 1759)",10,11,N
4761,Species,Geometridae,Macaria brunneata,Macaria brunneata,Macaria brunneata,"(Thunberg, 1784)",11,13,N
4764,Subspecies,Geometridae,Chiasmia clathrata clathrata,Chiasmia clathrata,Chiasmia clathrata,"(Linnaeus, 1758)",11,15,N
4766,Subspecies,Geometridae,Chiasmia clathrata hugginsi,Chiasmia clathrata,Chiasmia clathrata,"(Baynes, 1959)",11,15,N
4767,Species,Geometridae,Chiasmia aestimaria,Chiasmia aestimaria,Chiasmia aestimaria,"(Hübner, [1809])",11,14,N
4770,Species,Geometridae,Isturgia limbaria,Isturgia limbaria,Isturgia limbaria,"(Fabricius, 1775)",13,15,N
4775,Species,Geometridae,Cepphis advenaria,Cepphis advenaria,Cepphis advenaria,"(Hübner, 1790)",14,17,N
4778,Species,Geometridae,Petrophora chlorosata,Petrophora chlorosata,Petrophora chlorosata,"(Scopoli, 1763)",15,18,N
4783,Species,Geometridae,Plagodis pulveraria,Plagodis pulveraria,Plagodis pulveraria,"(Linnaeus, 1758)",17,19,N
4785,Species,Geometridae,Plagodis dolabraria,Plagodis dolabraria,Plagodis dolabraria,"(Linnaeus, 1767)",16,19,N
4789,Species,Geometridae,Pachycnemia hippocastanaria,Pachycnemia hippocastanaria,Pachycnemia hippocastanaria,"(Hübner, [1799])",14,16,N
4793,Species,Geometridae,Opisthograptis luteolata,Opisthograptis luteolata,Opisthograptis luteolata,"(Linnaeus, 1758)",14,21,N
4797,Species,Geometridae,Epione repandaria,Epione repandaria,Epione repandaria,"(Hufnagel, 1767)",13,16,N
4800,Species,Geometridae,Epione vespertaria,Epione vespertaria,Epione vespertaria,"(Linnaeus, 1767)",12,14,N
4804,Species,Geometridae,Pseudopanthera macularia,Pseudopanthera macularia,Pseudopanthera macularia,"(Linnaeus, 1758)",13,15,N
4809,Species,Geometridae,Angerona prunaria,Angerona prunaria,Angerona prunaria,"(Linnaeus, 1758)",20,30,N
4813,Species,Geometridae,Apeira syringaria,Apeira syringaria,Apeira syringaria,"(Linnaeus, 1758)",19,22,N
4816,Species,Geometridae,Ennomos autumnaria,Ennomos autumnaria,Ennomos autumnaria,"(Werneburg, 1859)",21,28,N
4819,Species,Geometridae,Ennomos quercinaria,Ennomos quercinaria,Ennomos quercinaria,"(Hufnagel, 1767)",18,22,N
4822,Species,Geometridae,Ennomos alniaria,Ennomos alniaria,Ennomos alniaria,"(Linnaeus, 1758)",16,20,N
4825,Species,Geometridae,Ennomos fuscantaria,Ennomos fuscantaria,Ennomos fuscantaria,"(Haworth, 1809)",17,21,N
4827,Species,Geometridae,Ennomos erosaria,Ennomos erosaria,Ennomos erosaria,"([Denis & Schiffermüller], 1775)",17,21,N
4832,Species,Geometridae,Selenia dentaria,Selenia dentaria,Selenia dentaria,"(Fabricius, 1775)",14,23,N
4836,Species,Geometridae,Selenia lunularia,Selenia lunularia,Selenia lunularia,"(Hübner, [1788])",16,22,N
4839,Species,Geometridae,Selenia tetralunaria,Selenia tetralunaria,Selenia tetralunaria,"(Hufnagel, 1767)",17,23,N
4845,Species,Geometridae,Odontopera bidentata,Odontopera bidentata,Odontopera bidentata,"(Clerck, 1759)",20,24,N
4848,Species,Geometridae,Crocallis elinguaria,Crocallis elinguaria,Crocallis elinguaria,"(Linnaeus, 1758)",18,22,N
4850,Species,Geometridae,Crocallis dardoinaria,Crocallis dardoinaria,Crocallis dardoinaria,"Donzel, 1840",18,24,N
4854,Species,Geometridae,Ourapteryx sambucaria,Ourapteryx sambucaria,Ourapteryx sambucaria,"(Linnaeus, 1758)",22,30,N
4859,Species,Geometridae,Colotois pennaria,Colotois pennaria,Colotois pennaria,"(Linnaeus, 1761)",19,23,N
4862,Species,Geometridae,Alsophila aescularia,Alsophila aescularia,Alsophila aescularia,"([Denis & Schiffermüller], 1775)",16,19,N
4866,Species,Geometridae,Apocheima hispidaria,Apocheima hispidaria,Apocheima hispidaria,"([Denis & Schiffermüller], 1775)",15,17,N
4869,Species,Geometridae,Phigalia pilosaria,Phigalia pilosaria,Phigalia pilosaria,"([Denis & Schiffermüller], 1775)",19,24,N
4873,Species,Geometridae,Lycia hirtaria,Lycia hirtaria,Lycia hirtaria,"(Clerck, 1759)",19,23,N
4875,Subspecies,Geometridae,Lycia lapponaria lapponaria,Lycia lapponaria,Lycia lapponaria,"(Boisduval, 1840)",14,16,N
4876,Subspecies,Geometridae,Lycia lapponaria scotica,Lycia lapponaria,Lycia lapponaria,"(Harrison, 1916)",14,16,N
4878,Subspecies,Geometridae,Lycia zonaria zonaria,Lycia zonaria,Lycia zonaria,"([Denis & Schiffermüller], 1775)",13,16,N
4879,Subspecies,Geometridae,Lycia zonaria britannica,Lycia zonaria ,Lycia zonaria ,"(Harrison, 1912)",13,16,N
4881,Subspecies,Geometridae,Lycia zonaria atlantica,Lycia zonaria,Lycia zonaria,"(Harrison, 1938)",13,16,N
4883,Species,Geometridae,Biston strataria,Biston strataria,Biston strataria,"(Hufnagel, 1767)",17,27,N
4886,Species,Geometridae,Biston betularia,Biston betularia,Biston betularia,"(Linnaeus, 1758)",22,28,N
4889,Species,Geometridae,Agriopis leucophaearia,Agriopis leucophaearia,Agriopis leucophaearia,"([Denis & Schiffermüller], 1775)",14,17,N
4891,Species,Geometridae,Agriopis aurantiaria,Agriopis aurantiaria,Agriopis aurantiaria,"(Hübner, [1799])",17,21,N
4893,Species,Geometridae,Agriopis marginaria,Agriopis marginaria,Agriopis marginaria,"(Fabricius, [1777])",16,20,N
4897,Species,Geometridae,Erannis defoliaria,Erannis defoliaria,Erannis defoliaria,"(Clerck, 1759)",18,25,N
4901,Species,Geometridae,Menophra abruptaria,Menophra abruptaria,Menophra abruptaria,"(Thunberg, 1792)",18,21,N
4904,Species,Geometridae,Peribatodes rhomboidaria,Peribatodes rhomboidaria,Peribatodes rhomboidaria,"([Denis & Schiffermüller], 1775)",17,24,N
4907,Species,Geometridae,Peribatodes umbraria,Peribatodes umbraria,Peribatodes umbraria,"(Hübner, [1809])",20,25,N
4909,Species,Geometridae,Peribatodes secundaria,Peribatodes secundaria,Peribatodes secundaria,"([Denis & Schiffermüller], 1775)",17,20,N
4911,Species,Geometridae,Peribatodes ilicaria,Peribatodes ilicaria,Peribatodes ilicaria,"(Geyer, [1833])",16,20,N
4915,Subspecies,Geometridae,Selidosema brunnearia brunnearia,Selidosema brunnearia,Selidosema brunnearia,"(Villers, 1789)",16,22,N
4918,Subspecies,Geometridae,Selidosema brunnearia scandinaviaria,Selidosema brunnearia,Selidosema brunnearia,"Staudinger, 1901",16,22,N
4920,Subspecies,Geometridae,Selidosema brunnearia tyronensis,Selidosema brunnearia,Selidosema brunnearia,"Cockayne, 1951",16,22,N
4922,Subspecies,Geometridae,Cleora cinctaria cinctaria,Cleora cinctaria,Cleora cinctaria,"([Denis & Schiffermüller], 1775)",16,20,N
4924,Subspecies,Geometridae,Cleora cinctaria bowesi,Cleora cinctaria,Cleora cinctaria,"Richardson, 1952",16,20,N
4926,Species,Geometridae,Deileptenia ribeata,Deileptenia ribeata,Deileptenia ribeata,"(Clerck, 1759)",18,26,N
4930,Subspecies,Geometridae,Alcis repandata repandata,Alcis repandata,Alcis repandata,"(Linnaeus, 1758)",19,26,N
4932,Subspecies,Geometridae,Alcis repandata muraria,Alcis repandata,Alcis repandata,"Curtis, 1826",19,26,N
4933,Subspecies,Geometridae,Alcis repandata sodorensium,Alcis repandata,Alcis repandata,"(Weir, 1881)",19,26,N
4934,Species,Geometridae,Alcis jubata,Alcis jubata,Alcis jubata,"(Thunberg, 1788)",13,16,N
4938,Species,Geometridae,Hypomecis roboraria,Hypomecis roboraria,Hypomecis roboraria,"([Denis & Schiffermüller], 1775)",23,32,N
4940,Species,Geometridae,Hypomecis punctinalis,Hypomecis punctinalis,Hypomecis punctinalis,"(Scopoli, 1763)",22,26,N
4944,Species,Geometridae,Fagivorina arenaria,Fagivorina arenaria,Fagivorina arenaria,"(Hufnagel, 1767)",15,17,N
4949,Species,Geometridae,Ectropis crepuscularia,Ectropis crepuscularia,Ectropis crepuscularia,"([Denis & Schiffermüller], 1775)",15,22,N
4960,Species,Geometridae,Paradarisa consonaria,Paradarisa consonaria,Paradarisa consonaria,"(Hübner, [1799])",18,20,N
4963,Species,Geometridae,Parectropis similaria,Parectropis similaria,Parectropis similaria,"(Hufnagel, 1767)",17,20,N
4968,Species,Geometridae,Aethalura punctulata,Aethalura punctulata,Aethalura punctulata,"([Denis & Schiffermüller], 1775)",13,16,N
4972,Species,Geometridae,Ematurga atomaria,Ematurga atomaria,Ematurga atomaria,"(Linnaeus, 1758)",12,15,N
4976,Species,Geometridae,Bupalus piniaria,Bupalus piniaria,Bupalus piniaria,"(Linnaeus, 1758)",17,19,N
4980,Species,Geometridae,Cabera pusaria,Cabera pusaria,Cabera pusaria,"(Linnaeus, 1758)",15,17,N
4984,Species,Geometridae,Cabera exanthemata,Cabera exanthemata,Cabera exanthemata,"(Scopoli, 1763)",14,16,N
4989,Species,Geometridae,Lomographa bimaculata,Lomographa bimaculata,Lomographa bimaculata,"(Fabricius, 1775)",13,14,N
4992,Species,Geometridae,Lomographa temerata,Lomographa temerata,Lomographa temerata,"([Denis & Schiffermüller], 1775)",13,15,N
