ID,0,1,2,3,4,5,6,7,8,9
D2,11.6,9.1,8.9,9,9,,,8.9,9.1,
F87,10.8,10.5,,,10.4,10,10.1,10,9.9,
F34,9.8,9.6,9.8,,,9.8,9.8,9.7,9.7,9.6
F33,9.2,9.0,9.1,,,8.8,8.8,8.9,9.1,9.2
F69,9.1,9.0,9.6,,,9.2,9.5,9.4,9.5,9.4
F17,8.8,8.3,8.7,,,8.7,8.2,8.2,8.3,8.3
E94,8.6,8.4,8.4,8.3,8.3,,,8.2,8.1,
E69,8.4,8.0,7.9,,,7.9,7.7,8,8.2,8.2
F8,8.3,8.0,8.8,,,8.1,8.3,8.5,8.5,8.5
F21,8.0,7.3,7.3,7.4,7.4,,,7.4,7.4,
E91,6.3,5.8,6.1,5.2,6,,,6,5.8,
G76,5.4,,,4.3,4.6,4.4,4.5,4.4,,
F12,5.3,,,4.1,4.3,4.8,4.6,4.6,,
F94,4.4,,,3.1,2,3,3,3,,
F22,3.6,,,1.6,1.8,1.7,1.6,2,,
F37,3.3,3.2,2.8,3.2,3,,,3,3.3,
F80,3.2,2.8,2.8,2.6,2.9,,,2.9,2.7,
F9,3.2,3.4,3.3,,,3.3,3,3.1,3.3,3.4
F36,3.2,2.9,2.9,,,3.3,2.8,2.9,3.1,2.9
F11,2.7,2.2,,,2.2,2.1,2.1,2.1,1.9,
F58,2.6,2.7,2.1,2.3,2.2,,,2.3,2.2,
F57,2.2,2.0,1.9,1.7,1.8,,,2.1,1.7,
D70,2.0,1.7,1.7,,,1.3,2.1,1.6,2,1.9
F78,2.0,,,1.4,1.6,2.1,1.2,2,,
F52,1.4,1.3,1.3,1.1,1.3,,,1.2,1.9,
E96,1.1,,,0.8,1,0.9,1.2,1.1,,
F67,0.6,,,0,0.9,1,0.5,0.6,,
